timestamp,job_id,mission_type,agent_stack,key_files,status
2026-02-15T11:27:00Z,job-2026-013,origin_narrative_integration,gemini-elder,src/app.jsx,success
2026-02-15T11:30:00Z,job-2026-014,manifest_reindex,gemini-elder,audit/website-file-manifest.md,success
2026-02-16T11:15:00Z,job-2026-015,mobile_substrate_calibration,gemini-elder,src/app.jsx,success
2026-02-16T12:05:00Z,job-2026-016,production_deployment_strike,gemini-elder,strike.sh,success
2026-02-17T01:21:00Z,job-2026-017,financial_handshake_verification,gemini-elder,server.js;stripe-trigger,success
2026-02-18T21:31:00Z,job-2026-019,canonical_production_latch,gemini-elder,scripts/ip-ledger-strike.sh,success
2026-02-21T06:39:39Z,job-2026-024,staging_verification_strike,gemini-elder,test-strike.sh;dist/,success
2026-02-21T07:22:00Z,job-2026-021,substrate_migration_latch,gemini-elder,readme.md;docs/manifests/;docs/ip/,success
2026-02-21T16:35:00Z,job-2026-030,ci_cd_authorization_shift,gemini-elder,.github/workflows/deploy.yml,success
2026-02-23T14:10:00Z,job-2026-033,secret_registry_confirmation,gemini-elder,os/active-context.md,success
2026-02-23T15:45:00Z,job-2026-045,identity_registry_consolidation,gemini-elder,docs/manifests/harbor-a-identity-secret-manifest-v1.0.0.md,success
2026-02-23T16:15:00Z,job-2026-050,wif_production_strike,gemini-elder,.github/workflows/deploy.yml,success
2026-02-23T16:31:00Z,job-2026-054,grant_portal_data_alignment,gemini-elder,google_startup_application_manifest.md,success
2026-02-23T16:45:00Z,job-2026-055,grant_portal_strike_complete,gemini-elder,google_startup_application_manifest.md,success
2026-02-24T09:15:00Z,job-2026-060,harbor_a_production_strike,local-sentinel,npm-run-verify;dist/;audit/production-strike-report-2026-02-24.md,success
